spot_id,name,lat,lon,zone_id,max_cabs,dwell_min,no_stop_hours,coverage_radius_m,notes
S01,Manek Chowk,23.054452,72.58927,Old City,1,12,,400,
S02,CG Road Junction,23.002483,72.589422,Ashram Road,2,15,,450,
S03,Sabarmati Riverfront North,23.036333,72.582033,Riverfront,1,15,,500,
S04,Sabarmati Riverfront South,23.013004,72.572705,Riverfront,1,8,,450,
S05,Vastrapur Lake,22.986923,72.549113,Vastrapur,1,10,,600,
S06,IIM-A Gate,22.986766,72.57324,IIM-A,1,12,,550,
S07,SG Highway - ISKCON,22.990152,72.525001,SG Highway,2,15,,600,
S08,Prahladnagar Garden,22.998721,72.518198,Prahladnagar,2,12,,500,
S09,Law Garden,23.022301,72.550496,Navrangpura,2,15,,400,
S10,Ellis Bridge End,23.002801,72.573681,Ellis Bridge,1,10,,550,
S11,Navrangpura Cross,23.061179,72.638533,Navrangpura,2,10,,600,
S12,Drive-In Road,22.99977,72.561915,Memnagar,1,10,,550,
S13,Thaltej Circle,23.067046,72.582535,Thaltej,1,8,,550,
S14,Bopal Approach,23.03991,72.581977,Bopal,1,15,,450,
S15,Sindhu Bhavan Road,23.033134,72.587264,Sindhu Bhavan,2,10,,400,
S16,Gota Crossroads,23.037241,72.576839,Gota,1,15,,600,
S17,Science City Gate,23.03745,72.581132,Sola/Science City,2,8,,450,
S18,Aakash Mall,23.03125,72.583027,Navrangpura,1,12,,600,
S19,Alpha One Mall West,23.024429,72.564719,Vastrapur,1,8,,450,
S20,Kankaria Lake Gate 1,23.026689,72.565206,Maninagar,1,10,,550,
S21,Kalupur Railway East,23.017461,72.587011,Kalupur,1,15,,450,
S22,Kalupur Railway West,23.063742,72.586046,Kalupur,1,8,,600,
S23,Gandhigram Station,22.999836,72.564098,Ellis Bridge,2,15,,400,
S24,ST Bus Depot,23.016561,72.589667,Gita Mandir,1,12,,600,
S25,Airport Domestic Arrivals,23.018506,72.565654,Hansol/Airport,1,12,,350,
S26,Airport International Arrivals,23.038628,72.550402,Hansol/Airport,1,12,,600,
S27,Motera Stadium Gate 3,23.025559,72.565899,Motera,1,10,,500,
S28,Zydus Hospital Junction,23.033481,72.584302,Thaltej,1,15,,350,
S29,Shyamal Cross Road,23.050273,72.565767,Shyamal,1,15,,350,
S30,Jivraj Flyover End,23.040809,72.574806,Jivraj,1,10,,500,
